1chr_position	sample3	sample1	sample4	sample2
chr20,49602339,49603017	0.962	0.633	0.850	0.636
chr20,60468515,60469161	0.957	0.938	0.735	0.510
chr20,12099662,12100835	0.250	0.857	0.917	NA
chr20,37425810,37427558	0.968	0.929	0.957	0.667
chr20,59450636,59451049	1.000	0.824	0.929	0.672
chr20,14907777,14909248	0.682	0.487	0.607	0.265
chr20,12767747,12768238	0.500	0.961	0.870	NA
chr20,56322958,56322996	NA	0.525	0.538	1.000
chr20,18030749,18031157	NA	0.944	0.792	0.375
chr20,62046273,62046845	0.983	0.676	0.952	0.889
chr20,54166335,54167706	0.724	0.684	0.947	0.907
chr20,20761048,20761313	0.300	0.025	NA	NA
chr20,54368196,54368616	0.714	0.406	0.938	NA
chr20,4968717,4969838	0.983	0.575	0.741	0.173
chr20,52440520,52441766	0.929	0.884	0.929	0.712
chr20,5591559,5591955	0.286	0.000	0.000	NA
chr20,30247042,30247564	0.692	0.263	NA	0.826
chr20,50292703,50293140	0.560	NA	1.000	NA
chr20,36429194,36431859	0.774	0.833	0.716	0.982
chr20,19919577,19919910	0.745	0.909	0.938	1.000
chr20,33021502,33022074	0.455	NA	NA	1.000
chr20,19344057,19348100	0.935	0.902	0.938	0.635
chr20,53622599,53622851	NA	0.300	1.000	0.789
chr20,49975799,49976460	0.952	1.000	0.800	1.000
chr20,42644486,42646016	0.735	0.578	0.750	0.231
chr20,61494240,61494885	0.957	0.900	0.844	0.259
chr20,4473316,4474493	0.375	0.706	0.265	0.943
chr20,37422426,37423079	0.192	0.385	0.621	0.231
chr20,55932283,55933092	0.636	0.532	0.149	0.780
chr20,23672393,23672774	1.000	0.900	1.000	NA
chr20,26078236,26078861	0.178	0.028	0.560	0.014
chr20,14352105,14354153	0.594	0.614	0.836	0.556
chr20,61585988,61586277	NA	0.000	0.633	0.273
chr20,48939486,48939547	0.750	1.000	NA	NA
chr20,55247465,55248170	1.000	0.884	0.859	1.000
chr20,21788299,21789182	0.792	1.000	0.853	1.000
chr20,41175586,41177835	0.962	0.699	0.933	0.660
chr20,14598410,14602490	0.721	0.857	0.898	0.588
chr20,43453485,43454527	NA	1.000	0.692	1.000
chr20,57572960,57575109	1.000	0.893	0.976	0.860
chr20,40919750,40922842	0.820	0.714	0.956	0.610
chr20,62278613,62279404	0.276	0.861	0.953	0.500
chr20,49683902,49684709	0.474	0.122	0.474	0.425
chr20,60109349,60110316	NA	0.479	0.765	0.312
chr20,57988052,57989435	0.656	0.769	0.818	0.125
chr20,37394802,37397742	0.887	0.928	0.978	0.878
chr20,39915077,39918455	0.872	0.933	0.763	0.682
chr20,57767941,57768237	NA	NA	0.938	0.250
chr20,30683518,30685313	0.888	0.956	0.973	0.852
chr20,62557809,62558224	0.889	0.795	0.424	0.455
chr20,46527055,46527305	0.943	0.829	0.975	0.357
chr20,11976406,11979012	0.806	0.860	0.903	0.513
chr20,29901255,29901525	0.000	0.000	0.200	0.385
chr20,62196878,62196966	NA	NA	0.824	1.000
chr20,48079508,48080872	0.870	0.863	0.788	0.643
chr20,19969351,19969613	1.000	0.615	0.733	0.750
chr20,12908450,12910393	0.154	0.600	0.517	0.857
chr20,46782825,46787689	0.852	0.881	0.945	0.654
chr20,37369089,37369376	1.000	0.500	NA	NA
chr20,38886875,38887202	0.918	0.440	0.875	0.826
chr20,32953228,32954232	0.310	0.622	0.787	NA
chr20,22976431,22976498	NA	0.909	0.400	1.000
chr20,52713807,52715526	0.789	0.690	0.720	0.467
chr20,33731367,33734529	0.510	0.324	0.508	0.306
chr20,46972784,46972826	0.536	1.000	0.833	NA
chr20,40392672,40398083	0.988	0.902	0.836	0.835
chr20,5054956,5055554	0.680	NA	NA	1.000
chr20,52213495,52214033	0.476	0.500	0.294	0.120
chr20,45524712,45524926	0.154	0.077	NA	0.842
chr20,4228888,4229429	0.000	0.608	0.525	0.317
chr20,23450103,23451797	0.931	0.867	0.762	0.500
chr20,18010082,18010140	1.000	NA	NA	0.500
chr20,6482350,6486332	0.765	0.782	0.817	0.590
chr20,4163117,4163372	0.929	0.538	NA	0.941
chr20,19475028,19476657	0.341	0.805	0.640	0.861
chr20,39804200,39804695	0.500	NA	0.857	1.000
chr20,57431067,57431419	0.625	0.644	0.320	0.516
chr20,23637431,23638159	1.000	0.817	0.852	1.000
chr20,58848983,58849278	1.000	0.579	NA	NA
chr20,54573222,54576377	0.632	0.833	0.841	0.963
chr20,51800377,51800552	NA	0.525	0.917	1.000
chr20,26080386,26082268	0.859	0.743	0.813	0.640
chr20,22794841,22796761	0.633	0.419	0.263	0.727
chr20,49487516,49487618	1.000	0.900	0.524	NA
chr20,54664520,54664892	1.000	NA	0.667	1.000
chr20,33637947,33638692	1.000	1.000	0.862	1.000
chr20,14665083,14666791	0.515	0.730	0.891	0.625
chr20,3020997,3021453	NA	1.000	0.913	0.533
chr20,4341286,4344589	0.939	0.857	0.727	0.985
chr20,54747957,54748645	0.700	0.958	0.571	NA
chr20,54427868,54433982	0.712	0.837	0.863	0.669
chr20,46429064,46429825	NA	0.857	0.882	0.605
chr20,55547187,55548844	0.383	0.600	0.388	0.289
chr20,62878195,62879295	0.415	0.667	0.856	0.891
chr20,38597957,38598231	0.933	0.146	0.966	NA
chr20,1706832,1707245	0.773	0.950	1.000	1.000
chr20,48271566,48275334	0.440	0.728	0.623	0.458
chr20,47865081,47865494	NA	1.000	0.706	0.810
chr20,62439992,62440551	1.000	0.990	0.943	0.875
chr20,39049296,39053480	0.960	0.727	0.696	0.417
chr20,59290394,59291916	0.675	0.899	0.813	0.823
chr20,9281162,9282644	0.837	0.926	0.882	0.580
chr20,13320219,13322175	0.429	0.846	0.932	0.841
chr20,12546022,12547458	0.808	0.870	0.543	0.818
chr20,1737424,1738283	1.000	0.277	0.545	0.458
chr20,35504699,35506914	0.765	0.492	0.856	0.643
chr20,18559950,18560292	1.000	0.900	NA	0.556
chr20,42560448,42561144	0.750	1.000	0.800	0.609
chr20,41893664,41894053	0.800	1.000	0.227	0.865
chr20,37023952,37026425	0.621	0.386	0.876	0.286
chr20,39589358,39590008	0.778	0.810	0.951	0.632
chr20,25120797,25122291	0.923	0.743	0.847	0.323
chr20,61644392,61645435	0.938	0.250	0.962	0.930
chr20,31440724,31443081	0.849	0.962	0.898	0.787
chr20,61718084,61718735	0.707	0.757	0.759	0.286
chr20,44958838,44958899	NA	0.577	NA	0.000
chr20,53935557,53936857	0.857	0.921	0.765	0.333
chr20,19999065,19999981	0.919	1.000	0.957	0.793
chr20,17742446,17743669	0.778	1.000	0.892	1.000
chr20,61492188,61492465	0.250	0.067	0.000	0.000
chr20,55017411,55017931	NA	0.722	0.208	0.250
chr20,33601742,33602258	0.562	1.000	0.727	NA
chr20,42640085,42640885	NA	0.760	0.730	0.479
chr20,14068344,14069766	1.000	0.792	0.391	0.000
chr20,52727542,52732606	0.452	0.689	0.633	0.415
chr20,23517593,23521622	0.897	0.455	0.910	0.409
chr20,45118599,45119560	0.804	0.633	0.941	0.471
chr20,54958039,54960767	0.940	0.892	0.986	0.811
chr20,3784743,3785219	0.846	0.176	0.733	NA
chr20,51659673,51660573	0.818	0.700	1.000	0.688
chr20,4951432,4952922	1.000	0.957	0.970	0.700
chr20,23453621,23455882	0.850	0.800	0.780	1.000
chr20,57522559,57522778	0.846	0.684	NA	1.000
chr20,8406252,8407007	NA	0.500	0.647	0.907
chr20,8904965,8906266	1.000	0.579	0.750	0.938
chr20,41609038,41610144	0.391	0.755	0.500	0.778
chr20,54168932,54173871	0.969	0.953	0.774	0.984
chr20,8428950,8429163	1.000	0.245	0.857	1.000
chr20,59628918,59629194	NA	0.136	0.393	0.533
chr20,35156569,35157378	0.909	0.944	0.860	0.300
chr20,17348030,17352125	0.699	0.726	0.842	0.613
chr20,56475943,56476829	1.000	1.000	0.771	1.000
chr20,50026933,50029746	0.947	0.488	0.647	0.269
chr20,54343380,54343650	0.706	0.939	0.964	1.000
chr20,21502378,21502758	0.000	0.125	0.000	0.121
chr20,45785492,45785940	0.630	0.991	0.933	0.955
chr20,19373872,19376304	0.939	0.791	0.857	0.118
chr20,44855372,44856535	0.688	0.554	0.299	0.849
chr20,4471725,4473180	0.966	0.922	0.760	0.593
chr20,60838753,60838858	1.000	1.000	0.929	0.660
chr20,22514817,22515252	NA	0.929	0.960	0.550
chr20,57557820,57558302	NA	0.727	0.067	0.773
chr20,8866372,8869547	0.863	0.956	0.733	1.000
chr20,37268447,37271611	0.787	0.778	0.837	0.139
chr20,3833507,3833914	1.000	0.962	1.000	0.800
chr20,31471054,31471956	0.605	0.934	0.393	0.929
chr20,47725987,47726370	1.000	0.722	1.000	NA
chr20,50501734,50502257	0.722	0.973	0.879	1.000
chr20,30585759,30585987	NA	0.050	0.867	NA
chr20,3795748,3796957	0.947	0.864	0.621	0.476
chr20,60386148,60387766	0.720	0.775	0.897	0.844
chr20,2720201,2720419	0.200	1.000	0.929	1.000
chr20,9091962,9094049	0.846	0.750	0.333	0.818
chr20,24462545,24463242	0.812	1.000	0.733	0.385
chr20,22664277,22664580	1.000	0.478	0.571	NA
chr20,41789010,41789839	0.429	0.800	0.321	1.000
chr20,56940008,56940747	0.646	0.889	0.842	1.000
chr20,24471144,24471843	1.000	0.966	0.923	0.600
chr20,58353688,58354019	1.000	0.286	0.905	0.714
chr20,8923060,8925283	0.500	0.818	0.865	1.000
chr20,60148149,60148666	0.733	0.977	1.000	0.714
chr20,41865730,41867162	0.935	0.837	0.804	0.610
chr20,58245147,58246392	0.593	0.723	0.946	0.971
chr20,35187688,35187730	0.957	0.714	NA	1.000
chr20,58525115,58525307	1.000	1.000	0.824	0.600
chr20,36851005,36853519	0.286	0.407	0.568	0.353
chr20,55889602,55890290	NA	0.500	0.138	1.000
chr20,4804331,4804908	0.519	0.163	0.074	0.120
chr20,45237568,45238485	1.000	0.733	0.925	1.000
chr20,4501883,4502618	0.550	0.939	0.743	0.846
chr20,39312111,39314221	0.241	0.209	0.392	0.165
chr20,61887818,61888127	0.286	0.261	0.793	0.476
chr20,17336093,17337335	1.000	0.129	1.000	NA
chr20,56716840,56718478	0.889	0.947	0.982	0.761
chr20,2142740,2143554	0.913	0.818	0.381	1.000
chr20,38915518,38916362	0.900	0.882	0.815	0.396
chr20,35665127,35665630	1.000	0.425	1.000	NA
chr20,56837430,56838454	0.704	0.991	0.825	1.000
chr20,55639153,55639677	1.000	0.994	0.784	0.605
chr20,50588638,50588880	NA	1.000	NA	0.765
chr20,49633200,49633463	NA	0.846	0.552	1.000
chr20,58613688,58614265	NA	0.647	0.140	NA
chr20,833898,834476	1.000	0.951	0.852	0.636
chr20,52762355,52763667	NA	0.943	0.844	0.645
chr20,11082610,11082899	NA	NA	0.909	0.333
chr20,44371566,44373449	0.765	0.980	0.341	0.967
chr20,61072505,61073675	0.909	0.643	0.996	NA
chr20,24230062,24231257	1.000	0.833	0.756	0.907
chr20,57936567,57937128	NA	0.962	0.415	0.294
chr20,39944927,39945142	1.000	0.765	1.000	1.000
chr20,23419476,23420646	0.250	0.588	0.700	0.702
chr20,42669579,42669867	0.269	0.667	NA	1.000
chr20,41007700,41008710	0.483	0.861	0.611	0.792
chr20,2352333,2355312	0.759	0.889	0.855	0.640
chr20,7718076,7722519	0.889	0.865	0.840	0.533
chr20,57484115,57484264	NA	0.750	0.562	0.926
chr20,50126808,50128715	0.931	0.966	0.830	0.843
chr20,1249470,1250152	0.737	1.000	1.000	1.000
chr20,6711477,6711740	0.947	0.714	1.000	NA
chr20,59021022,59022067	0.094	0.378	0.061	0.581
chr20,11232354,11234416	1.000	0.844	0.981	0.737
chr20,54902856,54905501	0.535	0.350	0.710	0.800
chr20,44867571,44869700	0.621	0.696	0.492	0.298
chr20,11224339,11227269	0.867	0.455	0.177	0.371
chr20,19507964,19508952	0.900	0.184	0.997	NA
chr20,51045904,51046429	1.000	0.737	0.935	0.167
chr20,30779305,30782656	0.333	0.545	0.796	1.000
chr20,23994722,23995798	0.939	0.906	0.971	0.700
chr20,41792224,41792622	NA	0.400	0.944	0.400
chr20,58779850,58781109	0.753	0.920	0.793	0.991
chr20,25915471,25917544	0.500	1.000	0.714	0.733
chr20,57162964,57164075	0.893	0.789	0.542	0.814
chr20,18834992,18836561	0.903	0.621	0.956	1.000
chr20,61153472,61153576	1.000	0.840	1.000	1.000
chr20,62677627,62677820	1.000	NA	0.353	0.462
chr20,62429707,62429883	NA	1.000	0.829	NA
chr20,39766309,39766526	0.000	NA	0.125	0.000
chr20,33898103,33898228	NA	1.000	0.875	0.583
chr20,22522769,22524834	0.970	0.932	0.750	0.423
chr20,29833074,29834554	0.810	0.882	0.182	0.844
chr20,25062054,25062630	0.228	0.154	0.052	0.075
chr20,40772334,40773999	0.944	0.893	0.319	1.000
chr20,5484053,5484156	0.471	NA	0.893	NA
chr20,48325453,48329368	0.297	0.594	0.358	0.381
chr20,55948033,55948115	NA	NA	1.000	0.000
chr20,49496508,49496821	1.000	1.000	0.927	0.781
chr20,34725063,34727123	0.440	0.854	0.625	0.761
chr20,14695200,14698004	0.820	0.786	0.694	0.942
chr20,57047765,57047862	NA	NA	1.000	0.200
chr20,17411814,17413496	0.306	0.699	0.679	0.623
chr20,32664759,32665072	0.988	0.800	0.742	NA
chr20,59980058,59980448	0.817	1.000	0.809	1.000
chr20,39642312,39643579	1.000	1.000	0.912	NA
chr20,18250357,18252068	0.654	0.921	0.675	1.000
chr20,46405956,46406498	NA	0.946	0.929	0.618
chr20,20378210,20378952	1.000	1.000	0.875	1.000
chr20,60282949,60283753	0.500	0.769	0.488	0.848
chr20,25388310,25388488	0.000	0.407	0.000	NA
chr20,52489524,52490659	1.000	0.761	0.970	NA
chr20,61028227,61028580	NA	NA	0.980	0.645
chr20,15654881,15655317	NA	0.808	0.610	0.917
chr20,56931541,56935871	0.987	0.962	0.981	0.996
chr20,21493756,21494672	0.044	0.000	0.229	0.034
chr20,52085037,52085434	0.400	0.529	0.765	0.000
chr20,40939748,40940934	0.641	0.914	0.519	0.788
chr20,15890311,15891833	0.912	0.892	0.849	0.667
chr20,39667869,39670650	0.650	0.783	0.462	0.782
chr20,34247189,34247988	1.000	0.986	0.550	1.000
chr20,22675996,22676922	1.000	0.900	0.647	0.740
chr20,15793043,15794513	0.844	0.909	0.783	0.471
chr20,41011143,41013169	0.975	0.950	0.808	0.738
chr20,17494655,17495522	NA	0.533	0.941	0.929
chr20,13427667,13432994	0.968	0.977	0.949	0.800
chr20,51145688,51146886	0.562	0.995	0.500	1.000
chr20,59251984,59252579	0.929	0.872	0.929	0.511
chr20,41621251,41626318	0.980	0.957	0.772	0.598
chr20,45801767,45802453	0.200	0.964	0.826	1.000
chr20,23809084,23810237	0.775	1.000	0.938	1.000
chr20,36466987,36468954	0.958	0.936	0.940	0.761
chr20,31825548,31830181	0.774	0.736	0.903	0.429
chr20,57983807,57986864	0.873	0.878	0.872	0.663
chr20,6445139,6448487	0.861	0.845	0.882	0.597
chr20,56884998,56885125	0.000	0.000	0.234	0.000
chr20,18267144,18268544	0.479	0.373	0.745	0.385
chr20,19321797,19325356	0.683	0.938	0.937	0.979
chr20,13912403,13918045	0.807	0.935	0.816	0.712
chr20,40614012,40616277	0.875	0.929	0.791	0.487
chr20,8694689,8695793	0.973	0.722	0.896	0.562
chr20,56278479,56278661	0.636	0.957	1.000	1.000
chr20,4930668,4931423	0.000	0.364	0.565	NA
chr20,36150465,36150526	0.607	0.776	0.385	0.743
chr20,62598192,62598530	NA	NA	0.947	0.509
chr20,52276433,52276667	NA	0.100	NA	0.669
chr20,30904774,30905564	0.953	1.000	0.950	0.714
chr20,4739759,4740814	0.413	0.232	0.750	0.333
chr20,61049308,61049644	0.000	0.053	0.222	0.074
chr20,13533712,13535258	0.952	0.963	0.885	0.677
chr20,44698890,44700929	0.995	0.943	0.930	0.910
chr20,40204286,40205392	0.917	1.000	1.000	0.512
chr20,44911841,44912707	0.846	0.614	0.897	0.591
chr20,16966123,16967143	1.000	0.684	0.440	1.000
chr20,31447834,31448622	0.804	0.816	0.331	0.960
chr20,59619454,59619758	1.000	0.300	0.667	1.000
chr20,60620409,60620892	0.889	0.760	0.584	0.271
chr20,16567041,16572761	0.887	0.872	0.801	0.694
chr20,349415,350172	0.964	1.000	0.722	0.560
chr20,46683050,46683342	0.891	0.870	0.923	0.118
chr20,24683386,24683682	1.000	NA	NA	0.650
chr20,56982033,56982221	0.932	NA	NA	0.500
chr20,44420373,44421517	0.417	0.000	0.015	0.037
chr20,19440826,19441367	NA	0.933	0.971	0.750
chr20,45706953,45707567	0.652	0.615	0.970	1.000
chr20,29652588,29652904	0.197	0.217	0.331	0.336
chr20,48070370,48070806	NA	0.750	0.965	0.750
chr20,25724402,25725435	1.000	1.000	0.812	NA
chr20,46753051,46753715	0.812	0.678	0.608	0.978
chr20,62427538,62429529	0.786	0.591	0.295	0.542
chr20,11286173,11289116	0.600	0.599	0.687	0.882
chr20,16619062,16619808	0.947	0.958	0.905	0.605
chr20,43759923,43760111	1.000	NA	NA	0.600
chr20,48271179,48271529	0.238	0.679	0.469	0.333
chr20,42797233,42797410	1.000	0.941	1.000	0.500
chr20,25512219,25512474	0.697	0.995	1.000	1.000
chr20,51720387,51721572	0.941	0.944	0.802	1.000
chr20,61869411,61870222	0.000	0.476	0.382	0.735
chr20,52993500,52994190	1.000	0.952	0.842	0.515
chr20,54580246,54580676	0.207	0.085	0.108	0.054
chr20,15777433,15777635	NA	0.417	NA	1.000
chr20,33059370,33060221	1.000	0.667	0.989	0.833
chr20,51765666,51766154	0.667	0.267	0.919	NA
chr20,47871096,47871603	1.000	0.833	0.565	1.000
chr20,58704762,58704947	NA	NA	0.300	1.000
chr20,59665613,59665860	0.625	0.348	0.877	0.154
chr20,41239396,41241101	0.886	0.707	0.928	0.600
chr20,24821978,24823021	0.938	0.980	0.980	0.333
chr20,59808961,59809091	1.000	0.737	1.000	NA
chr20,22527009,22527960	0.632	0.519	0.874	0.769
chr20,47691495,47691753	0.975	0.995	0.623	0.684
chr20,54263594,54264972	0.231	0.593	0.281	0.959
chr20,24729364,24729942	0.632	0.842	0.948	1.000
chr20,971403,972634	0.692	0.794	0.916	0.857
chr20,56496660,56497441	0.348	0.727	0.513	0.273
chr20,12486401,12490710	0.883	0.742	0.828	0.635
chr20,52133510,52134049	0.500	0.948	0.974	0.948
chr20,39114826,39115791	0.964	0.560	0.727	1.000
chr20,11801813,11802203	NA	NA	0.667	1.000
chr20,36162677,36163748	0.667	0.913	0.724	0.280
chr20,50733557,50735509	0.906	0.757	0.889	1.000
chr20,57469485,57470515	0.419	0.456	0.319	0.957
chr20,47945884,47946527	0.591	0.088	0.853	NA
chr20,17375780,17376477	NA	0.308	0.571	0.650
chr20,29818978,29819143	0.313	0.325	0.374	0.323
chr20,45043571,45044570	0.936	0.817	0.940	0.558
chr20,46530614,46530675	0.464	0.800	0.438	1.000
chr20,20935864,20936521	0.667	0.227	0.667	1.000
chr20,14786948,14789992	0.655	0.754	0.857	0.915
chr20,7389850,7391490	0.650	0.863	0.676	0.596
chr20,11753059,11753856	0.778	NA	0.463	1.000
chr20,11388340,11388597	1.000	0.643	NA	NA
chr20,53367486,53369261	NA	1.000	0.850	0.655
chr20,30005429,30006642	0.611	0.625	0.902	0.560
chr20,13282698,13283082	0.786	0.647	0.600	0.000
chr20,47898162,47898886	0.903	0.821	0.846	0.547
chr20,56399872,56401213	0.796	0.899	0.908	0.589
chr20,44526497,44527191	1.000	0.895	0.786	1.000
chr20,46328979,46329419	0.978	0.417	0.909	0.821
chr20,18686967,18688631	0.873	0.968	0.950	0.727
chr20,11441117,11441227	NA	1.000	1.000	0.417
chr20,61767921,61768289	1.000	0.692	1.000	0.500
chr20,50511825,50513444	0.913	1.000	0.885	0.714
chr20,37479333,37480146	NA	0.935	0.917	0.691
chr20,25207697,25208128	0.609	0.538	0.218	0.636
chr20,13960151,13961716	0.688	0.842	0.923	1.000
chr20,12103858,12107918	1.000	0.600	0.962	0.000
chr20,45954249,45956506	0.880	0.791	0.702	0.661
chr20,7884978,7888801	0.823	0.893	0.815	0.129
chr20,19711116,19711594	0.364	0.690	0.444	0.000
chr20,17830924,17831359	0.842	0.875	0.898	0.471
chr20,56001280,56001420	0.294	NA	0.800	0.857
chr20,51682656,51682868	0.909	0.200	0.923	0.645
chr20,12451811,12452894	0.683	0.918	0.282	0.719
chr20,37384134,37385367	0.960	0.857	0.782	0.436
chr20,25022555,25024426	0.714	0.665	0.565	0.296
chr20,42135111,42135842	0.836	0.830	0.481	0.662
chr20,33268189,33268244	1.000	0.471	0.458	NA
chr20,60864057,60864172	1.000	0.625	0.975	NA
chr20,38224248,38227294	0.924	0.953	0.796	0.995
chr20,49012679,49013696	NA	0.684	0.940	0.500
chr20,22305226,22307814	0.765	0.982	0.307	0.421
chr20,10990413,10991166	0.933	0.786	1.000	1.000
chr20,32891982,32892363	NA	0.800	0.233	NA
chr20,1790629,1791235	NA	0.967	0.977	0.800
chr20,8464088,8464890	0.500	0.875	0.957	0.882
chr20,50790334,50790761	NA	1.000	NA	0.690
chr20,52708912,52710521	0.826	0.917	0.750	0.730
chr20,9022081,9024543	0.822	0.849	0.490	0.525
chr20,59102938,59104403	0.462	0.826	0.644	0.627
chr20,52425247,52425670	1.000	NA	0.080	1.000
chr20,35946442,35947156	0.304	0.483	0.224	0.593
chr20,42528468,42528888	0.909	1.000	0.462	NA
