1chr_position	sample4	sample3	sample1	sample2
chr19,655616,656054	0.756	1.000	1.000	NA
chr19,3008902,3009332	0.947	NA	0.404	NA
chr19,15303552,15304529	1.000	0.611	0.822	1.000
chr19,44963291,44963523	0.713	0.903	0.843	1.000
chr19,18383511,18383750	0.970	NA	NA	0.745
chr19,33016999,33017756	0.958	0.364	0.880	0.767
chr19,49320685,49321862	0.878	0.667	0.985	0.938
chr19,50309599,50309979	NA	0.979	0.878	1.000
chr19,55478138,55480171	0.874	0.977	0.944	0.783
chr19,37031415,37034259	0.952	0.754	0.867	0.966
chr19,5237190,5237667	0.982	1.000	0.938	1.000
chr19,35142976,35145854	0.400	0.676	0.708	0.605
chr19,18414880,18415877	0.100	0.000	0.225	0.184
chr19,22778082,22780162	0.184	0.414	0.639	0.344
chr19,56065774,56066305	1.000	NA	0.667	1.000
chr19,5546665,5546869	0.700	NA	0.429	1.000
chr19,40755626,40756146	0.844	0.641	0.714	1.000
chr19,36398779,36399051	0.000	NA	0.393	0.105
chr19,49534357,49534809	0.984	0.839	1.000	0.643
chr19,9239875,9240634	0.971	0.957	0.841	1.000
chr19,643965,644065	0.657	0.958	NA	1.000
chr19,39622559,39622861	0.786	0.978	0.839	1.000
chr19,19729008,19729309	0.343	0.020	0.037	0.562
chr19,10290536,10291187	0.833	0.286	1.000	0.871
chr19,46224969,46225166	0.800	0.562	1.000	1.000
chr19,58867574,58868120	0.007	0.000	0.319	0.000
chr19,31408568,31409066	0.933	1.000	0.615	0.929
chr19,1333450,1333805	0.875	1.000	0.931	0.167
chr19,23178874,23181124	0.951	0.923	0.800	0.368
chr19,39714526,39715493	0.467	0.816	0.385	0.353
chr19,17971763,17972156	0.231	0.000	0.692	0.000
chr19,1318719,1319322	0.080	NA	0.280	1.000
chr19,36450038,36450712	0.539	0.012	0.050	0.043
chr19,37422373,37422915	0.533	NA	0.909	1.000
chr19,48626453,48626648	0.765	1.000	1.000	1.000
chr19,22611383,22611743	0.306	0.179	0.000	0.080
chr19,2477494,2478183	0.056	0.323	0.433	0.000
chr19,41963831,41964573	0.403	0.793	0.826	0.812
chr19,5303123,5304465	0.948	0.800	0.935	0.984
chr19,41940365,41941266	0.500	0.889	0.636	0.312
chr19,13603819,13607970	0.827	0.603	0.714	0.673
chr19,8024855,8025606	0.734	0.946	0.926	0.821
chr19,1947532,1948317	0.711	0.906	0.412	0.125
chr19,11624894,11625177	1.000	0.167	1.000	1.000
chr19,13456855,13457782	0.972	NA	0.917	0.466
chr19,16470793,16471331	0.892	0.770	0.965	0.998
chr19,19745612,19745999	0.564	0.947	0.750	NA
chr19,31375306,31375921	0.725	0.800	0.933	1.000
chr19,31119899,31121360	0.885	0.426	0.810	0.857
chr19,2535578,2536196	0.920	1.000	1.000	NA
chr19,36739198,36743475	0.968	0.900	0.864	0.631
chr19,45736055,45737147	0.975	0.890	0.985	0.872
chr19,41013477,41013772	1.000	1.000	0.880	1.000
chr19,35460966,35461497	0.792	NA	1.000	1.000
chr19,46961833,46962387	NA	NA	1.000	0.304
chr19,54621000,54622152	0.933	1.000	0.896	1.000
chr19,3060749,3061203	0.833	0.071	0.385	NA
chr19,56315818,56316518	0.921	0.552	0.886	0.474
chr19,14413715,14414115	0.684	NA	0.179	1.000
chr19,36517115,36517361	0.500	NA	0.944	0.750
chr19,2462491,2463289	0.174	0.143	0.402	0.465
chr19,38739548,38740716	0.987	0.958	0.900	0.714
chr19,23866284,23866456	0.538	1.000	NA	NA
chr19,8951849,8952300	0.971	1.000	0.917	0.735
chr19,29703212,29703627	0.212	0.048	0.000	0.000
chr19,40459032,40463144	0.952	0.800	0.795	0.525
chr19,16630603,16630797	1.000	1.000	0.714	0.667
chr19,7497091,7498079	0.939	0.862	1.000	0.729
chr19,15135761,15136204	0.913	0.621	0.600	NA
chr19,17144249,17146517	0.846	0.984	0.920	0.677
chr19,17464483,17465261	0.703	1.000	0.703	0.908
chr19,40463739,40467933	0.880	0.926	0.760	0.551
chr19,18779388,18779540	0.379	1.000	NA	NA
chr19,40893767,40894415	0.517	0.952	0.617	0.782
chr19,48637552,48637679	0.793	1.000	1.000	NA
chr19,18208285,18208461	0.308	0.533	0.600	0.800
chr19,56632309,56634147	0.079	0.582	0.135	0.082
chr19,238474,244425	0.467	NA	0.909	1.000
chr19,35155692,35156562	0.868	NA	1.000	0.353
chr19,28626530,28628092	0.900	0.702	0.769	0.381
chr19,3933420,3934406	0.417	0.188	0.217	0.130
chr19,44372218,44373615	0.956	0.720	0.444	1.000
chr19,19083144,19083498	0.000	0.095	0.128	0.353
chr19,53088144,53088371	0.667	0.912	0.824	0.507
chr19,33866228,33866379	0.500	NA	0.100	0.833
chr19,18292830,18293518	0.938	0.768	0.902	0.973
chr19,42642324,42642912	0.889	1.000	1.000	0.583
chr19,6043840,6044623	0.973	0.833	0.943	0.419
chr19,6068606,6069019	NA	0.214	NA	0.733
chr19,57532484,57532717	0.727	NA	0.773	1.000
chr19,54445135,54445374	0.211	NA	0.333	0.000
chr19,7122901,7123271	0.982	0.724	0.929	NA
chr19,8163976,8164691	0.864	1.000	0.271	1.000
chr19,3115073,3115611	0.875	0.667	1.000	0.808
chr19,12389268,12390351	0.500	1.000	0.950	0.708
chr19,51634317,51634766	0.297	0.667	0.559	0.067
chr19,1216685,1216918	1.000	NA	0.643	NA
chr19,4457576,4458166	0.036	0.137	0.000	0.018
chr19,7455482,7455899	1.000	0.643	1.000	0.909
chr19,21155678,21156827	0.931	0.615	0.810	0.485
chr19,35984533,35984793	0.935	0.346	0.778	0.895
chr19,3746060,3746832	0.773	0.953	0.577	0.900
chr19,10839419,10840073	0.902	0.600	0.308	0.706
chr19,1964348,1964975	0.886	1.000	0.984	0.783
chr19,18575283,18575772	0.300	0.905	0.429	NA
chr19,293884,294377	0.280	0.667	0.741	0.227
chr19,45655435,45655647	0.274	NA	0.000	0.000
chr19,18304729,18306380	0.477	0.541	0.218	0.138
chr19,56503601,56505763	0.781	0.906	0.956	0.865
chr19,49298225,49298743	0.044	0.500	0.270	0.785
chr19,41062798,41063168	0.615	0.667	0.955	0.926
chr19,30551534,30552025	NA	0.909	0.182	NA
chr19,51333406,51334547	0.625	0.289	0.337	0.758
chr19,45180277,45180807	0.737	NA	1.000	1.000
chr19,283622,283771	0.609	NA	0.968	NA
chr19,601599,601918	0.812	0.983	0.612	1.000
chr19,56735044,56735902	0.838	0.676	0.758	0.613
chr19,7532212,7532237	NA	NA	0.364	1.000
chr19,21054589,21056203	0.586	0.643	0.172	0.364
chr19,2798273,2799050	0.845	0.969	0.764	0.875
chr19,50688072,50688791	0.971	1.000	0.829	1.000
chr19,48133109,48134124	0.896	0.692	0.718	0.957
chr19,16895071,16895536	1.000	0.833	0.947	1.000
chr19,58831900,58832618	0.862	0.672	0.913	1.000
chr19,35138034,35139241	0.880	0.579	1.000	1.000
chr19,19729830,19730179	0.536	0.400	0.845	0.000
chr19,54211632,54212124	0.964	1.000	0.727	NA
chr19,54931443,54931729	0.078	0.000	0.733	0.077
chr19,17327127,17327809	0.857	0.976	0.600	1.000
chr19,14796349,14797077	0.562	NA	0.054	1.000
chr19,36598899,36600192	0.325	0.950	0.737	0.455
chr19,11178321,11180008	0.886	1.000	0.967	0.708
chr19,47366533,47369101	0.964	0.927	0.914	0.743
chr19,7888493,7889576	0.808	0.750	0.833	0.386
chr19,7964685,7964905	0.900	NA	0.341	NA
chr19,30595789,30596012	0.118	NA	0.818	NA
chr19,58868765,58869192	0.217	NA	0.750	NA
chr19,24537767,24541058	0.369	0.581	0.433	0.658
chr19,55123379,55124520	0.158	0.840	0.900	0.429
chr19,56876649,56878407	1.000	0.833	0.935	0.878
chr19,58297471,58297547	0.789	NA	NA	1.000
chr19,30107459,30108104	0.903	0.550	0.934	0.794
chr19,54807119,54808191	0.718	1.000	0.941	0.769
chr19,46081939,46082880	0.913	0.450	1.000	NA
chr19,701509,702199	0.617	0.681	0.864	0.051
chr19,46953649,46954817	0.519	0.885	0.905	0.827
chr19,42236316,42236857	0.188	0.235	0.341	0.000
chr19,17357188,17358252	0.030	0.038	0.216	0.250
chr19,59025510,59026291	0.148	0.194	0.479	NA
chr19,54516623,54517331	0.787	0.765	0.585	0.973
chr19,55342538,55343432	0.448	0.800	0.759	0.500
chr19,41701988,41702060	0.909	NA	1.000	0.531
chr19,9692567,9693133	0.907	0.800	0.733	0.455
chr19,54290123,54290653	0.923	0.800	0.988	0.600
chr19,35036399,35040465	0.544	0.776	0.766	0.762
chr19,1355769,1356277	0.148	0.255	0.309	0.031
chr19,49109227,49109786	0.700	1.000	0.973	NA
chr19,58573779,58574246	0.935	0.846	1.000	0.000
chr19,23198002,23199115	0.905	0.583	0.944	1.000
chr19,11087188,11088552	0.955	0.980	0.814	0.729
chr19,5178207,5178678	0.786	NA	0.986	NA
chr19,5951252,5954412	0.333	0.392	0.502	0.065
chr19,3006272,3006441	0.909	NA	0.375	0.750
chr19,45258076,45258559	0.795	0.586	0.550	0.167
chr19,8522139,8525085	0.750	0.815	0.892	0.873
chr19,14026960,14027459	0.897	1.000	1.000	0.579
chr19,8514440,8515088	0.857	0.519	0.900	NA
chr19,2779378,2779607	1.000	0.643	NA	1.000
chr19,12708255,12708834	0.960	0.871	0.808	0.792
chr19,18625550,18627143	0.481	0.559	0.515	0.100
chr19,16935896,16936998	0.323	0.389	0.165	0.299
chr19,13920642,13921445	0.795	1.000	0.952	0.882
chr19,6372281,6372484	0.032	0.682	0.567	0.231
chr19,40114531,40115105	0.560	0.875	NA	0.406
chr19,5476298,5476602	0.727	0.455	NA	1.000
chr19,42278905,42279489	0.562	0.605	0.921	1.000
chr19,17411323,17411738	0.864	1.000	0.958	0.565
chr19,50918483,50919230	0.306	0.273	0.511	0.000
chr19,31506726,31508415	0.759	0.963	0.531	0.809
chr19,12751386,12751635	0.521	0.541	0.390	0.741
chr19,314497,314621	NA	0.979	0.719	1.000
chr19,24491058,24492730	0.903	0.500	0.213	0.611
chr19,3797155,3798366	0.618	0.526	0.886	NA
chr19,42037419,42037842	0.097	0.400	0.000	0.355
chr19,36758849,36759303	0.946	NA	1.000	0.714
chr19,6160846,6161785	0.436	0.227	0.282	0.888
chr19,13105726,13105893	0.333	0.094	0.059	NA
chr19,13019552,13019809	0.800	NA	1.000	0.500
chr19,1557059,1557273	0.641	NA	0.974	0.929
chr19,32004266,32004798	0.258	NA	0.947	0.733
chr19,49393266,49395496	0.852	0.766	0.931	0.581
chr19,39018946,39019242	0.468	0.900	0.794	0.562
chr19,30940871,30941713	NA	NA	0.000	0.500
chr19,53660704,53660756	NA	0.812	1.000	1.000
chr19,4042478,4042860	0.875	0.667	0.786	0.389
chr19,29689700,29693095	0.983	0.860	0.889	0.982
chr19,4363287,4363466	0.531	1.000	0.846	0.741
chr19,34068341,34069025	0.500	NA	0.607	1.000
chr19,10214494,10214699	1.000	0.917	0.826	0.585
chr19,20105964,20106373	0.721	0.319	0.793	0.562
chr19,55042956,55044541	0.649	0.771	0.700	0.434
chr19,50530200,50530437	0.600	0.846	0.333	1.000
chr19,14780575,14782237	0.864	0.634	0.886	1.000
chr19,7700566,7701035	0.765	1.000	0.571	0.579
chr19,4364614,4365879	0.962	1.000	0.985	0.753
chr19,33540436,33542186	0.948	0.688	0.978	0.829
chr19,21822350,21823399	1.000	0.571	1.000	1.000
chr19,7777532,7779414	0.845	0.701	0.754	0.965
chr19,13884865,13885106	0.059	0.562	0.250	0.000
chr19,42894435,42895363	0.553	0.105	0.731	0.622
chr19,12780569,12780662	0.172	NA	0.000	0.000
chr19,33093210,33094030	0.947	0.250	0.789	NA
chr19,3805292,3805567	0.750	NA	0.971	0.471
chr19,36920840,36921524	0.920	0.931	0.864	0.787
chr19,32115560,32116126	0.692	NA	1.000	0.886
chr19,57389997,57392424	0.977	0.831	0.876	0.821
chr19,53401118,53401416	0.291	0.444	0.647	0.074
chr19,9439051,9439439	1.000	1.000	0.846	0.000
chr19,40305098,40308849	0.894	0.872	0.971	0.856
chr19,9473313,9473915	0.233	0.417	0.096	0.462
chr19,45248644,45250656	0.694	0.605	0.729	0.357
chr19,33403668,33404668	NA	1.000	0.167	0.667
chr19,10528622,10528842	0.040	NA	0.000	0.400
chr19,39052822,39053417	0.968	1.000	0.824	1.000
chr19,46194472,46194766	0.089	NA	0.190	0.000
chr19,7694264,7694456	0.261	0.104	0.000	0.000
chr19,45748612,45749691	0.689	0.921	0.581	0.373
chr19,33578216,33579853	0.966	0.925	0.991	0.704
chr19,1595806,1596056	0.750	NA	0.548	1.000
chr19,31802870,31803825	0.985	0.887	0.500	0.423
chr19,52359628,52362234	0.906	0.755	0.921	0.882
chr19,35030654,35032856	0.878	0.556	0.180	0.846
chr19,30088961,30089401	0.222	NA	0.696	NA
chr19,24408063,24409299	0.464	0.647	0.295	0.889
chr19,30435662,30436891	0.852	0.787	0.629	0.298
chr19,36449580,36449824	0.769	NA	0.062	0.000
chr19,57190798,57191800	0.000	NA	NA	1.000
chr19,45710382,45710980	0.846	0.941	0.646	0.441
chr19,53384794,53385004	0.636	1.000	0.667	1.000
chr19,32893495,32894643	0.909	0.850	0.910	0.500
chr19,29348524,29349708	0.789	0.750	0.724	0.419
chr19,3562629,3562804	0.333	NA	0.854	NA
chr19,55059995,55060574	0.970	1.000	0.867	0.733
chr19,18682567,18683004	0.000	0.041	0.158	0.000
chr19,22272042,22272819	1.000	0.963	0.092	0.919
chr19,48379932,48380311	0.632	NA	0.929	1.000
chr19,8185928,8186137	0.938	0.730	0.135	NA
chr19,2116481,2117522	0.578	0.938	0.991	0.476
chr19,21798654,21799513	0.911	0.708	0.855	0.647
chr19,10968669,10969506	0.212	0.647	0.812	NA
chr19,50047456,50048437	0.750	0.771	0.836	0.525
chr19,54694045,54694178	0.121	NA	0.000	0.000
chr19,14366520,14367416	0.060	0.569	0.516	0.657
chr19,16229906,16229941	NA	0.000	NA	0.667
chr19,3244106,3244624	0.046	0.721	0.481	1.000
chr19,50040057,50040501	0.895	0.407	0.875	1.000
chr19,21666640,21666698	0.944	NA	0.500	NA
chr19,37954255,37955861	1.000	0.905	0.988	0.750
chr19,44767691,44769392	0.850	1.000	0.757	1.000
chr19,6334623,6335701	0.966	0.778	0.786	1.000
chr19,51802401,51802870	0.807	0.368	0.831	0.995
chr19,28270713,28271576	0.766	0.515	0.978	0.378
chr19,3580590,3581992	0.615	0.606	0.632	0.970
chr19,19916771,19916830	NA	0.500	NA	1.000
chr19,37523397,37528340	0.840	0.898	0.652	0.737
chr19,50014705,50015265	0.190	0.200	0.013	0.185
chr19,35248718,35249489	0.238	1.000	0.933	NA
chr19,52703253,52704051	0.861	0.773	0.921	0.409
chr19,34908379,34909228	0.984	1.000	0.968	0.836
chr19,41919511,41920073	0.824	0.333	0.829	0.667
chr19,55416688,55417254	0.130	0.261	0.582	0.200
chr19,18321922,18323221	0.812	0.944	0.884	0.375
chr19,24470415,24475199	0.474	0.547	0.794	0.593
chr19,42984651,42986739	0.589	0.615	0.783	0.272
chr19,33440814,33443588	0.976	0.984	0.916	1.000
chr19,28028123,28036642	0.470	0.653	0.558	0.538
chr19,20396330,20397190	0.688	1.000	0.750	1.000
chr19,374707,375521	0.436	0.750	0.890	0.609
chr19,7584540,7584679	0.920	NA	0.385	1.000
chr19,21499145,21499493	0.895	0.724	0.900	1.000
chr19,11772676,11773106	NA	1.000	0.808	0.688
chr19,49056367,49057285	0.838	0.842	0.816	0.975
chr19,14146648,14147261	0.862	0.222	0.938	0.718
chr19,45505225,45505672	0.350	0.037	0.165	0.000
chr19,5908556,5909156	NA	0.292	0.950	NA
chr19,46094163,46095163	0.730	0.450	0.719	0.400
chr19,49263740,49264363	0.696	0.381	0.271	0.243
chr19,11647234,11647693	0.091	NA	0.688	NA
chr19,50334354,50336583	0.362	0.567	0.576	0.307
chr19,6937732,6938954	0.926	0.895	0.722	0.505
chr19,11185412,11185650	0.111	0.531	0.077	NA
chr19,1658239,1658698	0.806	NA	0.750	0.257
chr19,7911924,7912281	1.000	NA	0.583	0.643
chr19,57606243,57607078	0.913	0.895	1.000	0.280
chr19,40257011,40258046	0.596	0.667	0.385	0.152
chr19,9467697,9468114	0.909	0.846	NA	0.429
chr19,48908077,48909061	0.917	0.836	0.628	0.510
chr19,39812118,39812144	NA	0.056	0.993	NA
chr19,11658070,11658513	0.943	0.727	0.981	0.300
chr19,32248197,32249256	0.940	0.600	0.990	0.762
chr19,16718702,16720223	0.738	1.000	0.969	NA
chr19,49978777,49979433	0.867	0.472	0.833	0.667
chr19,11115144,11118019	0.710	0.919	0.854	0.412
chr19,42069241,42069434	1.000	NA	1.000	0.750
chr19,30905308,30908255	0.600	0.207	0.632	0.297
chr19,56669733,56670141	0.923	0.231	0.923	0.991
chr19,1573000,1573690	1.000	0.733	0.857	0.960
chr19,38744517,38744927	0.889	1.000	NA	0.567
chr19,32591254,32592025	0.773	0.878	0.857	0.214
chr19,8794183,8795002	0.691	0.824	0.875	0.567
chr19,44264207,44264745	0.935	NA	0.952	0.333
chr19,1436607,1436907	0.938	0.400	NA	1.000
chr19,9695787,9696362	0.837	0.909	0.953	0.488
chr19,27977081,27978043	0.786	0.613	0.742	0.951
chr19,48025710,48026474	0.810	1.000	0.826	1.000
chr19,18777424,18778339	0.850	1.000	1.000	NA
chr19,33073830,33073885	0.941	0.462	NA	NA
chr19,51458526,51459744	0.869	0.875	0.924	0.977
chr19,37691894,37693646	0.964	0.902	0.992	0.716
chr19,56220907,56222593	0.945	0.625	0.929	0.439
chr19,12916178,12916369	0.750	NA	NA	1.000
chr19,51747025,51748349	0.975	0.579	0.945	0.895
chr19,32364488,32364739	0.180	1.000	0.800	0.938
chr19,17224613,17225511	0.918	0.857	0.860	0.136
chr19,51011533,51012090	0.560	0.750	0.977	0.286
chr19,1079268,1079456	NA	1.000	0.909	0.500
chr19,29827467,29828673	0.202	0.791	0.643	0.625
chr19,11236253,11237267	0.556	0.625	0.500	0.000
chr19,3083744,3083823	NA	1.000	0.667	NA
chr19,7036518,7038686	1.000	1.000	1.000	0.545
chr19,49064825,49065243	0.769	0.844	0.500	1.000
chr19,5214147,5214839	0.994	0.957	0.998	0.996
chr19,11241057,11241561	0.484	0.842	0.615	0.714
chr19,5484920,5487310	0.790	0.854	0.961	0.879
chr19,37483681,37485102	0.562	0.800	0.909	1.000
chr19,36500650,36500915	0.500	NA	0.000	0.400
chr19,36332931,36333097	0.946	0.826	0.471	0.960
chr19,9913255,9913743	0.926	NA	1.000	0.625
chr19,5040941,5041838	0.691	0.710	0.256	0.895
chr19,55621721,55622370	1.000	1.000	1.000	0.487
chr19,31178793,31179196	0.507	0.545	0.909	0.778
chr19,27811215,27815282	0.559	0.669	0.737	0.514
chr19,14690967,14691815	0.980	0.840	0.420	0.721
chr19,56848336,56850324	0.667	1.000	0.833	0.724
chr19,21449257,21451839	0.978	0.818	0.750	0.984
chr19,31060258,31064853	0.845	0.875	0.876	0.684
chr19,40966361,40968245	0.717	0.140	0.796	0.872
chr19,24460565,24460807	1.000	1.000	NA	0.762
chr19,684703,685034	0.865	0.889	0.615	0.977
chr19,42570259,42570540	0.231	NA	0.615	0.750
chr19,18988643,18988970	0.951	0.966	0.932	0.707
chr19,55954081,55954434	0.000	0.300	0.065	0.000
chr19,50993392,50993790	0.933	0.960	1.000	0.794
chr19,53537917,53538882	0.862	0.433	0.762	NA
chr19,17792486,17794175	0.365	0.582	0.576	0.577
chr19,3672699,3673361	0.696	0.967	0.829	0.515
chr19,49241750,49242036	0.394	0.130	0.071	NA
chr19,19027091,19029250	0.929	0.862	0.955	0.764
chr19,17645546,17647574	0.836	0.968	0.742	0.967
chr19,42579667,42579972	0.000	0.000	0.022	0.090
chr19,13240654,13244102	0.776	0.682	0.769	0.966
chr19,19837547,19837688	0.955	0.545	NA	NA
chr19,3916753,3917851	0.735	0.882	0.937	0.825
chr19,43144803,43145974	NA	0.400	0.952	1.000
chr19,14716032,14717043	0.780	0.786	0.526	0.939
chr19,3634510,3635016	0.957	NA	0.706	0.667
chr19,49472587,49472878	0.975	0.917	0.835	0.219
chr19,15477252,15478077	0.975	0.588	0.962	0.718
chr19,45754465,45754764	0.000	0.000	0.254	0.000
